"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","03 回放管理","02 照片回放","0","0","9","0","0"
"","03 回放管理","01 视频回放","0","0","10","0","0"
"","03 回放管理","03 视频播放","0","0","1","0","0"
